tarih,vardiya,makine_id,sicaklik,basinc,titreşim,uretim_hizi,operator_tecrube,kullanim_süresi,rulman_degisimi_sonrasi,hata_var
2021-01-01,Gece,3,75.2,2.37,0.53,2255,2,9,0,0
2021-01-02,Gündüz,5,82.65,1.96,0.44,1475,1,9,0,0
2021-01-03,Gece,3,84.94,1.85,0.47,1654,3,11,0,0
2021-01-04,Gece,4,85.2,1.97,0.49,1844,5,10,0,0
2021-01-05,Gündüz,5,76.12,1.57,0.53,1923,2,6,0,0
2021-01-06,Gündüz,3,75.52,1.17,0.47,2268,4,11,0,0
2021-01-07,Gece,4,74.3,2.04,0.49,1637,3,11,0,0
2021-01-08,Akşam,1,88.02,1.26,0.53,1648,5,6,0,0
2021-01-09,Gece,4,83.11,2.14,0.51,1212,3,6,0,0
2021-01-10,Gece,5,75.89,2.03,0.52,2482,4,9,0,0
2021-01-11,Gece,2,80.64,1.55,0.47,1989,3,8,0,0
2021-01-12,Gece,1,79.38,1.67,0.49,1803,5,8,0,0
2021-01-13,Gündüz,3,75.14,1.8,0.48,1127,3,10,0,0
2021-01-14,Gece,5,80.18,1.52,0.51,1951,1,6,0,0
2021-01-15,Akşam,2,80.95,1.96,0.49,1216,1,6,0,0
2021-01-16,Gündüz,4,89.66,1.99,0.48,1710,4,7,0,0
2021-01-17,Akşam,2,76.72,1.37,0.51,1019,5,10,0,0
2021-01-18,Akşam,5,71.45,1.55,0.61,2083,5,11,0,0
2021-01-19,Akşam,5,74.76,1.79,0.54,1674,5,11,0,0
2021-01-20,Akşam,2,75.54,2.14,0.42,1713,5,10,0,0
2021-01-21,Gündüz,4,77.87,2.0,0.53,1738,5,9,0,0
2021-01-22,Gündüz,2,74.77,1.1,0.48,2152,2,9,0,0
2021-01-23,Akşam,5,84.11,1.71,0.46,1556,3,10,0,0
2021-01-24,Akşam,5,74.42,1.94,0.55,1196,5,8,0,0
2021-01-25,Gündüz,3,80.1,1.56,0.52,1935,1,10,0,0
2021-01-26,Gündüz,3,90.0,1.54,0.64,1677,3,8,0,0
2021-01-27,Gündüz,1,82.77,1.58,0.51,1503,4,9,0,0
2021-01-28,Gece,5,82.25,1.71,0.5,2270,4,10,0,0
2021-01-29,Gece,3,89.29,1.51,0.57,1737,5,8,0,0
2021-01-30,Gece,2,86.23,2.0,0.52,1791,2,7,0,0
2021-01-31,Akşam,4,82.83,1.54,0.46,2283,2,7,0,0
2021-02-01,Gece,2,78.45,1.49,0.47,2370,3,10,0,0
2021-02-02,Akşam,4,79.89,1.68,0.5,1196,2,6,0,0
2021-02-03,Akşam,3,79.64,2.24,0.55,2130,4,10,0,0
2021-02-04,Gece,1,77.99,1.96,0.58,1780,5,9,0,0
2021-02-05,Akşam,2,81.06,1.98,0.56,1743,1,9,0,0
2021-02-06,Gece,2,81.75,1.89,0.55,2183,4,7,0,0
2021-02-07,Gece,2,73.78,1.52,0.57,1421,4,8,0,0
2021-02-08,Gündüz,4,88.16,1.61,0.55,2230,3,7,0,0
2021-02-09,Gece,3,82.05,1.56,0.47,2336,2,8,0,0
2021-02-10,Gündüz,2,78.69,2.13,0.51,1431,1,10,0,0
2021-02-11,Gece,2,81.11,1.89,0.49,1925,1,6,0,0
2021-02-12,Gece,1,84.65,1.3,0.58,1234,2,9,0,0
2021-02-13,Gündüz,1,72.67,2.24,0.47,1326,5,10,0,0
2021-02-14,Gündüz,3,79.47,1.7,0.48,1933,2,7,0,0
2021-02-15,Gece,3,74.07,2.0,0.53,1478,5,11,0,0
2021-02-16,Akşam,5,93.29,2.12,0.62,1427,1,11,0,0
2021-02-17,Gündüz,1,80.69,1.03,0.56,1665,3,10,0,0
2021-02-18,Akşam,5,74.11,1.94,0.58,2123,4,6,0,0
2021-02-19,Akşam,4,98.0,1.72,0.47,2261,1,8,0,0
2021-02-20,Akşam,5,77.32,1.07,0.56,2130,1,6,0,0
2021-02-21,Gündüz,2,78.95,1.46,0.47,1857,1,7,0,0
2021-02-22,Akşam,5,79.32,1.66,0.56,2387,4,6,0,0
2021-02-23,Gündüz,3,75.76,2.05,0.45,1641,5,9,0,0
2021-02-24,Akşam,4,81.24,1.75,0.51,1810,3,11,0,0
2021-02-25,Gece,2,68.95,1.84,0.42,2066,3,6,0,0
2021-02-26,Gece,5,85.43,1.69,0.48,1574,3,10,0,0
2021-02-27,Gündüz,4,74.36,2.13,0.46,2096,5,8,0,0
2021-02-28,Gece,4,77.92,1.96,0.56,2018,2,9,0,0
2021-03-01,Gece,2,83.76,1.85,0.53,2327,2,9,0,0
2021-03-02,Akşam,5,78.98,1.46,0.51,2028,3,9,0,0
2021-03-03,Gündüz,4,79.18,1.84,0.54,1802,1,7,0,0
2021-03-04,Akşam,4,74.94,2.63,0.49,2372,1,7,0,0
2021-03-05,Akşam,1,90.48,2.04,0.55,1399,4,10,0,0
2021-03-06,Akşam,4,82.66,1.58,0.53,1594,2,8,0,0
2021-03-07,Akşam,1,74.59,2.36,0.65,2456,1,6,0,0
2021-03-08,Akşam,5,80.89,1.56,0.61,2130,3,10,0,0
2021-03-09,Akşam,5,74.23,2.01,0.58,1116,4,7,0,0
2021-03-10,Akşam,5,88.61,1.79,0.55,1382,2,10,0,0
2021-03-11,Gündüz,3,81.0,1.85,0.56,1858,4,8,0,0
2021-03-12,Gece,5,75.12,1.87,0.6,1081,1,10,0,0
2021-03-13,Akşam,4,83.49,1.73,0.55,1831,3,11,0,0
2021-03-14,Akşam,2,78.61,1.68,0.55,1872,3,11,0,0
2021-03-15,Akşam,1,73.56,1.4,0.51,1652,3,9,0,0
2021-03-16,Akşam,3,81.91,1.46,0.5,1733,1,6,0,0
2021-03-17,Akşam,5,81.76,1.9,0.53,2433,5,7,0,0
